m,m0,m1,null_prop,distribution,L,alpha,n_reps,seed,power_bonf_mean,power_bonf_median,power_bonf_sd,power_bonf_min,power_bonf_max,power_bonf_q25,power_bonf_q75,fdr_bonf_mean,fdr_bonf_median,fdr_bonf_sd,fdr_bonf_max,power_hoch_mean,power_hoch_median,power_hoch_sd,power_hoch_min,power_hoch_max,power_hoch_q25,power_hoch_q75,fdr_hoch_mean,fdr_hoch_median,fdr_hoch_sd,fdr_hoch_max,power_bh_mean,power_bh_median,power_bh_sd,power_bh_min,power_bh_max,power_bh_q25,power_bh_q75,fdr_bh_mean,fdr_bh_median,fdr_bh_sd,fdr_bh_max,power_gain_hoch,power_gain_bh,power_diff_hoch,power_diff_bh,fdr_bh_bound,fdr_bh_controlled
16,8,8,0.500000,E,5,0.050000,2000,123456805,0.531250,0.500000,0.118750,0.125000,0.875000,0.500000,0.625000,0.004364,0.000000,0.029852,0.285714,0.547375,0.500000,0.121986,0.125000,1.000000,0.500000,0.625000,0.006375,0.000000,0.035045,0.333333,0.643375,0.625000,0.129204,0.250000,1.000000,0.500000,0.750000,0.023755,0.000000,0.061722,0.400000,1.030353,1.211059,0.016125,0.112125,0.025000,True
16,8,8,0.500000,I,5,0.050000,2000,123456805,0.650312,0.625000,0.116692,0.250000,1.000000,0.625000,0.750000,0.003551,0.000000,0.024311,0.250000,0.670188,0.625000,0.120404,0.250000,1.000000,0.625000,0.750000,0.005710,0.000000,0.030242,0.333333,0.764125,0.750000,0.114444,0.375000,1.000000,0.750000,0.875000,0.023921,0.000000,0.056552,0.285714,1.030562,1.175012,0.019875,0.113813,0.025000,True
16,12,4,0.750000,D,5,0.050000,2000,123456805,0.296750,0.250000,0.170666,0.000000,1.000000,0.250000,0.500000,0.015833,0.000000,0.094571,1.000000,0.300125,0.250000,0.172898,0.000000,1.000000,0.250000,0.500000,0.016167,0.000000,0.093777,1.000000,0.345625,0.250000,0.201431,0.000000,1.000000,0.250000,0.500000,0.034767,0.000000,0.121925,1.000000,1.011373,1.164701,0.003375,0.048875,0.037500,True
16,12,4,0.750000,E,5,0.050000,2000,123456805,0.532375,0.500000,0.169693,0.000000,1.000000,0.500000,0.750000,0.010292,0.000000,0.058999,0.500000,0.539375,0.500000,0.172969,0.000000,1.000000,0.500000,0.750000,0.011683,0.000000,0.061870,0.500000,0.600875,0.500000,0.182977,0.000000,1.000000,0.500000,0.750000,0.035758,0.000000,0.100817,0.666667,1.013149,1.128669,0.007000,0.068500,0.037500,True
16,12,4,0.750000,I,5,0.050000,2000,123456805,0.764875,0.750000,0.164689,0.250000,1.000000,0.750000,0.750000,0.007808,0.000000,0.044127,0.333333,0.775125,0.750000,0.165151,0.250000,1.000000,0.750000,1.000000,0.010150,0.000000,0.049794,0.400000,0.839125,0.750000,0.155203,0.250000,1.000000,0.750000,1.000000,0.036908,0.000000,0.090729,0.500000,1.013401,1.097075,0.010250,0.074250,0.037500,True
32,0,32,0.000000,D,5,0.050000,2000,123456821,0.319078,0.312500,0.057708,0.156250,0.500000,0.281250,0.343750,0.000000,0.000000,0.000000,0.000000,0.342531,0.343750,0.063288,0.156250,0.562500,0.312500,0.375000,0.000000,0.000000,0.000000,0.000000,0.532297,0.531250,0.080175,0.250000,0.812500,0.468750,0.593750,0.000000,0.000000,0.000000,0.000000,1.073503,1.668234,0.023453,0.213219,0.000000,True
32,0,32,0.000000,E,5,0.050000,2000,123456821,0.494437,0.500000,0.058424,0.281250,0.687500,0.468750,0.531250,0.000000,0.000000,0.000000,0.000000,0.539594,0.531250,0.066825,0.312500,0.781250,0.500000,0.593750,0.000000,0.000000,0.000000,0.000000,0.702234,0.718750,0.063193,0.500000,0.906250,0.656250,0.750000,0.000000,0.000000,0.000000,0.000000,1.091329,1.420269,0.045156,0.207797,0.000000,True
32,0,32,0.000000,I,5,0.050000,2000,123456821,0.669078,0.656250,0.058086,0.437500,0.875000,0.625000,0.718750,0.000000,0.000000,0.000000,0.000000,0.747812,0.750000,0.069969,0.500000,1.000000,0.687500,0.781250,0.000000,0.000000,0.000000,0.000000,0.855016,0.843750,0.049927,0.687500,1.000000,0.812500,0.875000,0.000000,0.000000,0.000000,0.000000,1.117676,1.277901,0.078734,0.185937,0.000000,True
32,8,24,0.250000,D,5,0.050000,2000,123456821,0.318521,0.333333,0.067368,0.125000,0.541667,0.291667,0.375000,0.000984,0.000000,0.010816,0.166667,0.333833,0.333333,0.071696,0.125000,0.583333,0.291667,0.375000,0.001260,0.000000,0.011883,0.166667,0.499396,0.500000,0.089504,0.208333,0.833333,0.458333,0.541667,0.011639,0.000000,0.029589,0.230769,1.048074,1.567859,0.015312,0.180875,0.012500,True
32,8,24,0.250000,E,5,0.050000,2000,123456821,0.492271,0.500000,0.068072,0.291667,0.708333,0.458333,0.541667,0.000632,0.000000,0.006902,0.100000,0.519646,0.500000,0.071664,0.291667,0.750000,0.458333,0.583333,0.001025,0.000000,0.008519,0.090909,0.679979,0.666667,0.074307,0.416667,0.916667,0.625000,0.708333,0.011971,0.000000,0.025514,0.166667,1.055610,1.381311,0.027375,0.187708,0.012500,True
